Time[s], SDI, SCK, LOAD
-0.000026984, 1, 0, 0
-0.000025800, 1, 1, 0
-0.000025500, 0, 0, 0
-0.000025200, 0, 1, 0
-0.000024900, 0, 0, 0
-0.000024600, 0, 1, 0
-0.000024200, 1, 0, 0
-0.000023900, 1, 1, 0
-0.000023600, 1, 0, 0
-0.000023300, 1, 1, 0
-0.000023000, 0, 0, 0
-0.000022700, 0, 1, 0
-0.000022400, 0, 0, 0
-0.000022000, 0, 1, 0
-0.000021700, 1, 0, 0
-0.000021400, 1, 1, 0
-0.000021100, 1, 0, 0
-0.000019100, 1, 1, 0
-0.000018800, 0, 0, 0
-0.000018500, 0, 1, 0
-0.000018100, 1, 0, 0
-0.000017800, 1, 1, 0
-0.000017500, 1, 0, 0
-0.000017200, 1, 1, 0
-0.000016900, 0, 0, 0
-0.000016600, 0, 1, 0
-0.000016200, 0, 0, 0
-0.000015900, 0, 1, 0
-0.000015600, 0, 0, 0
-0.000015300, 0, 1, 0
-0.000015000, 0, 0, 0
-0.000014700, 0, 1, 0
-0.000014400, 1, 0, 0
-0.000012300, 1, 1, 0
-0.000012000, 0, 0, 0
-0.000011700, 0, 1, 0
-0.000011400, 1, 0, 0
-0.000011100, 1, 1, 0
-0.000010700, 0, 0, 0
-0.000010400, 0, 1, 0
-0.000010100, 0, 0, 0
-0.000009800, 0, 1, 0
-0.000009500, 1, 0, 0
-0.000009200, 1, 1, 0
-0.000008800, 0, 0, 0
-0.000008500, 0, 1, 0
-0.000008200, 0, 0, 0
-0.000007900, 0, 1, 0
-0.000007600, 1, 0, 0
-0.000005500, 1, 1, 0
-0.000005200, 1, 0, 0
-0.000004900, 1, 1, 0
-0.000004600, 1, 0, 0
-0.000004200, 1, 1, 0
-0.000003900, 1, 0, 0
-0.000003600, 1, 1, 0
-0.000003300, 1, 0, 0
-0.000003000, 1, 1, 0
-0.000002700, 0, 0, 0
-0.000002300, 0, 1, 0
-0.000002000, 0, 0, 0
-0.000001700, 0, 1, 0
-0.000001400, 1, 0, 0
-0.000001100, 1, 1, 0
-0.000000800, 1, 0, 0
0.000000000, 1, 0, 1
